,features,rank
27,"(26,[0,2,3,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.4867714285714286,0.529809756097561,0.3594836363636364,0.00041476565740356696,0.25,0.25,0.01])",97
28,"(26,[0,2,3,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.4927857142857142,0.45750243902439025,0.35837151515151516,0.00041476565740356696,0.3125,0.3653846153846154,0.004])",14
29,"(26,[0,2,3,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.5129880952380952,0.6829268292682927,0.2697888888888889,0.0009677865339416564,0.625,0.46153846153846156,0.08])",31
30,"(26,[0,2,3,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.527092857142857,0.5138780487804878,0.3470567676767677,0.0011060417530761786,0.25,0.2692307692307693,0.013333333333333332])",18
31,"(26,[0,2,3,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.5277785714285713,0.532519512195122,0.31077434343434346,0.004562422231439237,0.25,0.17307692307692307,0.013333333333333332])",35
32,"(26,[0,2,3,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.5598857142857142,0.5720609756097561,0.330639797979798,0.0012442969722107008,0.3125,0.21153846153846156,0.025])",17
33,"(26,[0,2,3,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.6154404761904761,0.524019512195122,0.3447812121212121,0.002212083506152357,0.59375,0.42307692307692313,0.014545454545454545])",16
34,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.047619047619047616,0.14634146341463417,0.2101010101010101,0.3125,0.2884615384615385])",94
35,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.09523809523809523,0.14634146341463417,0.5050505050505051,0.234375,0.019230769230769232])",60
36,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.3333333333333333,0.3536585365853659,0.22727272727272727,0.1875,0.17307692307692307])",100
37,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.3571428571428571,0.21951219512195122,0.40606060606060607,0.140625,0.11538461538461539])",95
38,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.38095238095238093,0.8780487804878049,0.15151515151515152,0.375,0.25])",74
39,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.45238095238095233,0.4878048780487805,0.29292929292929293,0.234375,0.21153846153846156])",68
40,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.5238095238095237,0.41463414634146345,0.09090909090909091,0.34375,0.13461538461538464])",66
41,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.5476190476190476,0.7195121951219512,0.4505050505050505,0.5625,0.576923076923077])",65
42,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.6285714285714284,0.7170731707317073,0.3042424242424242,0.25,0.21153846153846156])",46
43,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.6547619047619048,0.5853658536585367,0.2737373737373737,0.296875,0.15384615384615385])",59
44,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.6666666666666666,0.6829268292682927,0.3434343434343434,0.15625,0.13461538461538464])",64
45,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.6746023809523809,0.7317073170731707,0.12390565656565657,0.734375,0.23076923076923078])",57
46,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.7095238095238096,0.8365853658536585,0.0890909090909091,0.390625,0.3653846153846154])",102
47,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.7142857142857142,0.29268292682926833,0.2404040404040404,0.71875,0.576923076923077])",98
48,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.7142857142857142,0.6585365853658537,0.3838383838383838,0.234375,0.15384615384615385])",108
49,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.7142857142857142,0.9329268292682927,0.01717171717171717,0.28125,0.25])",70
50,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.7168357142857142,0.9451219512195123,0.008152929292929293,0.671875,0.5384615384615385])",38
51,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.7186142857142856,0.7849219512195122,0.19136828282828283,0.34375,0.11538461538461539])",104
52,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.7354499999999999,0.7317073170731707,0.3111111111111111,0.3125,0.15384615384615385])",39
