,features,rank
360,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.4345238095238095,0.4451219512195122,0.23787878787878788,0.203125,0.15384615384615385,0.04])",38
361,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.5238095238095237,0.5853658536585367,0.2538721212121212,0.625,0.5192307692307693,0.08])",46
362,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.5357142857142857,0.5731707317073171,0.2494949494949495,0.328125,0.23076923076923078,0.04])",55
363,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.5476190476190476,0.45528536585365853,0.23097636363636362,0.28125,0.19230769230769232,0.04])",45
364,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.5670999999999999,0.5354756097560975,0.21092747474747472,0.203125,0.13461538461538464,0.05333333333333333])",18
365,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.6022404761904762,0.5050219512195122,0.23161030303030303,0.21875,0.019230769230769232,0.017142857142857144])",19
366,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.6038952380952382,0.5609756097560976,0.17281919191919193,0.25,0.15384615384615385,0.048])",29
367,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.6309523809523809,0.5853658536585367,0.26666666666666666,0.171875,0.11538461538461539,0.04])",61
368,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.6428571428571428,0.5505219512195122,0.26031737373737374,0.3125,0.09615384615384616,0.08])",31
369,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.6587309523809524,0.5365853658536586,0.2404040404040404,0.59375,0.42307692307692313,0.04])",43
370,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.6587309523809524,0.6016268292682927,0.35353535353535354,0.15625,0.07692307692307693,0.04])",51
371,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.6845238095238095,0.625,0.14722222222222223,0.828125,0.6346153846153847,0.16])",37
372,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.6964285714285714,0.6524390243902439,0.07222222222222222,0.25,0.15384615384615385,0.12])",100
373,"(26,[1,2,3,18,19,20,21,23,25],[1.0,1.0,1.0,0.12979598816972818,0.494047619047619,0.5060975609756098,0.25303030303030305,0.171875,0.02])",44
374,"(26,[1,2,3,18,19,20,21,24,25],[1.0,1.0,1.0,0.10869565217391304,0.7285714285714285,0.526829268292683,0.2917171717171717,0.019230769230769232,0.02])",40
375,"(26,[1,2,3,18,19,20,23,24],[1.0,1.0,1.0,0.10869565217391304,0.8333333333333333,0.8536585365853658,0.234375,0.25])",88
376,"(26,[1,2,3,18,19,20,23,24],[1.0,1.0,1.0,0.12979598816972818,0.738095238095238,0.7560975609756098,0.40625,0.13461538461538464])",107
377,"(26,[1,2,3,18,20,21,22,23,24],[1.0,1.0,1.0,0.11956521739130435,0.2682926829268293,0.21414141414141413,0.2738835891054887,0.09375,0.038461538461538464])",86
378,"(26,[1,2,3,18,20,21,22,23,24],[1.0,1.0,1.0,0.12979598816972818,0.14634146341463417,0.301010101010101,0.45472141573344393,0.203125,0.17307692307692307])",92
379,"(26,[1,2,4,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.13043478260869565,0.32312857142857143,0.5052268292682928,0.2695527272727273,0.025162449882483066,0.0625,0.038461538461538464,0.02])",28
380,"(26,[1,2,4,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.16666666666666666,0.12979598816972818,0.1770190476190476,0.24284146341463417,0.29249010101010103,0.03235172127747822,0.140625,0.13461538461538464,0.0019047619047619048])",6
381,"(26,[1,2,4,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.29166666666666663,0.11956521739130435,0.22619047619047616,0.32926829268292684,0.25684121212121214,0.009954375777685607,0.34375,0.09615384615384616,0.01])",6
382,"(26,[1,2,4,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.47619047619047616,0.5121951219512195,0.09292929292929293,0.515625,0.15384615384615385])",65
383,"(26,[1,2,4,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.7023809523809523,0.4024390243902439,0.2,0.5,0.07692307692307693])",47
384,"(26,[1,2,4,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.3333333333333333,0.24390243902439024,0.13333333333333333,0.203125,0.11538461538461539])",49
385,"(26,[1,2,4,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.5238095238095237,0.7317073170731707,0.0707070707070707,0.53125,0.23076923076923078])",106
386,"(26,[1,2,4,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.5595238095238095,0.4268292682926829,0.2676767676767677,0.4375,0.23076923076923078])",93
387,"(26,[1,2,4,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.6547619047619048,0.6219512195121951,0.14343434343434344,0.203125,0.17307692307692307])",56
388,"(26,[1,2,4,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.6746023809523809,0.6666658536585366,0.1400672727272727,0.5,0.07692307692307693,0.04])",60
389,"(26,[1,2,4,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.44444523809523806,0.5,0.30538727272727273,0.34375,0.09615384615384616,0.013333333333333332])",33
390,"(26,[1,2,5,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.125,0.12979598816972818,0.14285714285714285,0.3076926829268293,0.32758343434343434,0.1436471726807687,0.203125,0.13461538461538464,0.013333333333333332])",81
391,"(26,[1,2,5,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.29166666666666663,0.12979598816972818,0.1886452380952381,0.19887317073170732,0.3188812121212121,0.029586616894787778,0.203125,0.13461538461538464,0.007272727272727273])",84
392,"(26,[1,2,5,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.2301595238095238,0.21138292682926832,0.3548822222222222,0.390625,0.17307692307692307])",31
393,"(26,[1,2,5,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.5595238095238095,0.43902439024390244,0.3202020202020202,0.40625,0.13461538461538464])",50
394,"(26,[1,2,5,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.6428571428571428,0.676829268292683,0.07929292929292929,0.546875,0.44230769230769235])",59
395,"(26,[1,2,5,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.6785714285714285,0.5609756097560976,0.20202020202020202,0.1875,0.15384615384615385,0.04])",57
396,"(26,[1,2,6,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.39285714285714285,0.524390243902439,0.1606060606060606,0.375,0.3269230769230769])",54
397,"(26,[1,2,6,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.3015880952380952,0.3739829268292683,0.20202020202020202,0.375,0.3269230769230769,0.02])",47
398,"(26,[1,2,8,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.10869565217391304,0.7301595238095238,0.7804878048780488,0.24107737373737373,0.0038711461357666256,0.5,0.15384615384615385])",76
399,"(26,[1,2,8,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.6190476190476191,0.6463414634146342,0.30808080808080807,0.5,0.15384615384615385])",62
400,"(26,[1,2,8,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.6904761904761905,0.5284560975609756,0.2760943434343434,0.5,0.15384615384615385,0.04])",48
401,"(26,[1,2,9,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.47619047619047616,0.6341463414634146,0.08484848484848485,0.21875,0.13461538461538464])",74
402,"(26,[1,2,11,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.6428571428571428,0.5853658536585367,0.30505050505050507,0.21875,0.13461538461538464])",68
403,"(26,[1,3,17,18,19,20,21,23,24,25],[1.0,1.0,0.041666666666666664,0.10869565217391304,0.5340142857142857,0.6324048780487805,0.22323232323232323,0.125,0.057692307692307696,0.08])",33
404,"(26,[1,3,18,19,20,21,22,23,24],[1.0,1.0,0.10869565217391304,0.7233571428571428,0.7119634146341464,0.22712848484848486,0.009401354901147518,0.5,0.23076923076923078])",30
405,"(26,[1,3,18,19,20,21,23,24],[1.0,1.0,0.10869565217391304,0.5714285714285714,0.6097560975609756,0.35353535353535354,0.296875,0.019230769230769232])",79
406,"(26,[1,3,18,19,20,21,23,24],[1.0,1.0,0.10869565217391304,0.5714285714285714,0.6829268292682927,0.08282828282828283,0.265625,0.019230769230769232])",83
407,"(26,[1,3,18,19,20,21,23,24],[1.0,1.0,0.10869565217391304,0.7857142857142857,0.36585365853658536,0.2787878787878788,0.0625,0.019230769230769232])",58
408,"(26,[1,3,18,19,20,21,23,24],[1.0,1.0,0.12979598816972818,0.7142857142857142,0.7073170731707318,0.3898989898989899,0.1875,0.13461538461538464])",76
409,"(26,[1,3,18,19,20,21,23,24],[1.0,1.0,0.12979598816972818,0.7261904761904762,0.6951219512195123,0.2505050505050505,0.15625,0.11538461538461539])",105
410,"(26,[1,3,18,19,20,21,23,24,25],[1.0,1.0,0.10869565217391304,0.7531333333333332,0.7496780487804878,0.22083999999999998,0.5,0.23076923076923078,0.32])",35
411,"(26,[1,3,18,19,20,21,23,24,25],[1.0,1.0,0.12979598816972818,0.5973095238095237,0.547190243902439,0.26043030303030307,0.5,0.23076923076923078,0.011428571428571429])",17
412,"(26,[1,4,18,19,20,21,23,24],[1.0,1.0,0.12979598816972818,0.5476190476190476,0.7317073170731707,0.052525252525252523,0.15625,0.11538461538461539])",73
413,"(26,[0,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.041666666666666664,0.10869565217391304,0.07142857142857142,0.07317073170731708,0.40404040404040403,0.04838932669708281,0.328125,0.23076923076923078])",76
414,"(26,[0,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.041666666666666664,0.10869565217391304,0.26190476190476186,0.0975609756097561,0.3373737373737374,0.033181252592285354,0.484375,0.46153846153846156])",51
415,"(26,[0,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.041666666666666664,0.10869565217391304,0.5408166666666667,0.3344951219512195,0.3186147474747475,0.009954375777685607,0.140625,0.15384615384615385])",80
416,"(26,[0,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.041666666666666664,0.13043478260869565,0.8571428571428571,0.0975609756097561,0.296969696969697,0.2915802571547076,0.390625,0.3076923076923077])",79
417,"(26,[0,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.041666666666666664,0.18478260869565216,0.3214285714285714,0.06097560975609756,0.30303030303030304,0.8018802709802295,0.171875,0.11538461538461539])",75
418,"(26,[0,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.08333333333333333,0.17391304347826086,0.03571428571428571,0.024390243902439025,0.21313131313131314,0.5241255357389741,0.109375,0.11538461538461539])",60
419,"(26,[0,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.08333333333333333,0.17391304347826086,0.3571428571428571,0.2878048780487805,0.381010101010101,0.2037881930042859,0.125,0.13461538461538464])",74
420,"(26,[0,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.125,0.11956521739130435,0.3333333333333333,0.3323170731707317,0.3522727272727273,0.027789299046038985,0.03125,0.019230769230769232])",6
421,"(26,[0,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.125,0.2934782608695652,0.11904761904761904,0.14634146341463417,0.3570707070707071,0.3177104935711323,0.046875,0.019230769230769232])",2
422,"(26,[0,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.625,0.14130434782608695,0.15945238095238096,0.1766439024390244,0.3377410101010101,0.13853172957279136,0.203125,0.19230769230769232])",7
423,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.10869565217391304,0.32395476190476186,0.3651146341463415,0.32213030303030304,0.0023503387252868796,0.1875,0.057692307692307696,0.009230769230769232])",11
424,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.10869565217391304,0.37684761904761904,0.42136341463414634,0.3221874747474747,0.007465781833264206,0.203125,0.13461538461538464,0.013999999999999999])",77
425,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.10869565217391304,0.38888809523809525,0.3998512195121951,0.3262933333333333,0.0031798700400940136,0.3125,0.3653846153846154,0.008333333333333333])",13
426,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.10869565217391304,0.3902119047619047,0.46748048780487805,0.24893373737373736,0.035531591317572234,0.03125,0.019230769230769232,0.021818181818181816])",25
427,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.10869565217391304,0.5992071428571428,0.443090243902439,0.3360268686868687,0.0027651043826904466,0.109375,0.15384615384615385,0.026666666666666665])",74
428,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.10869565217391304,0.6683095238095238,0.5449951219512195,0.2858238383838384,0.0016590626296142678,0.1875,0.21153846153846156,0.036000000000000004])",75
429,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.11956521739130435,0.35407142857142854,0.40755365853658543,0.2724014141414141,0.007327526614129684,0.203125,0.13461538461538464,0.016])",21
430,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.13043478260869565,0.2113095238095238,0.3719512195121951,0.34116161616161617,0.049080602792755425,0.21875,0.13461538461538464,0.008])",8
431,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.16304347826086957,0.2799428571428571,0.3895048780487805,0.30309151515151517,0.0024885939444214016,0.171875,0.07692307692307693,0.005714285714285714])",9
432,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.08333333333333333,0.10869565217391304,0.2976190476190476,0.39634146341463417,0.3517676767676768,0.07548734964744919,0.296875,0.2692307692307693,0.008])",7
433,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.08333333333333333,0.10869565217391304,0.3107761904761905,0.2836975609756098,0.3330143434343434,0.006636250518457071,0.09375,0.057692307692307696,0.005333333333333333])",18
434,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.08333333333333333,0.10869565217391304,0.39682619047619044,0.43015609756097556,0.28962343434343435,0.009677865339416562,0.28125,0.15384615384615385,0.011428571428571429])",14
435,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.08333333333333333,0.10869565217391304,0.42496428571428574,0.47893658536585365,0.2923783838383839,0.009263099682012997,0.171875,0.07692307692307693,0.02])",16
436,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.08333333333333333,0.17391304347826086,0.26190476190476186,0.2835365853658537,0.35454545454545455,0.06304437992534218,0.125,0.13461538461538464,0.005714285714285714])",4
437,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.125,0.10869565217391304,0.36607142857142855,0.29878048780487804,0.3116161616161616,0.0011060417530761786,0.09375,0.038461538461538464,0.006666666666666666])",11
438,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.125,0.11956521739130435,0.20535714285714285,0.3201219512195122,0.3522727272727273,0.004977187888842803,0.234375,0.019230769230769232,0.006666666666666666])",5
439,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.125,0.11956521739130435,0.22943809523809522,0.3769390243902439,0.35335171717171715,0.03884971657680077,0.203125,0.17307692307692307,0.02])",28
440,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.125,0.16304347826086957,0.37157380952380953,0.4478926829268293,0.29274565656565654,0.007742292271533251,0.1875,0.057692307692307696,0.015555555555555557])",16
441,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.16666666666666666,0.11956521739130435,0.2453095238095238,0.3651146341463415,0.30976424242424244,0.004147656574035669,0.09375,0.038461538461538464,0.01391304347826087])",12
442,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.16666666666666666,0.13043478260869565,0.19047619047619047,0.263119512195122,0.3126416161616162,0.009954375777685607,0.296875,0.25,0.005517241379310345])",9
443,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.20833333333333331,0.11956521739130435,0.29220714285714283,0.39172195121951225,0.2840527272727273,0.017005391953546247,0.09375,0.038461538461538464,0.014545454545454545])",11
444,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.29166666666666663,0.10869565217391304,0.24829999999999997,0.3716609756097561,0.2728234343434343,0.004838932669708281,0.21875,0.13461538461538464,0.023333333333333334])",17
445,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.29166666666666663,0.13043478260869565,0.20995714285714281,0.35476829268292687,0.31325373737373735,0.027789299046038985,0.28125,0.15384615384615385,0.006956521739130435])",10
446,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.29166666666666663,0.20652173913043478,0.1825404761904762,0.3067268292682927,0.2978266666666667,0.023918152910272363,0.203125,0.17307692307692307,0.0032])",10
447,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.375,0.2717391304347826,0.1421142857142857,0.23628048780487806,0.3029040404040404,0.017005391953546247,0.09375,0.09615384615384616,0.005714285714285714])",6
448,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.41666666666666663,0.19565217391304346,0.16522380952380952,0.2845536585365854,0.29758181818181817,0.052398728051983964,0.078125,0.057692307692307696,0.009230769230769232])",8
449,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.41666666666666663,0.30434782608695654,0.14429999999999998,0.2882487804878049,0.323109898989899,0.04189133139776026,0.125,0.13461538461538464,0.009230769230769232])",6
450,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.41666666666666663,0.358695652173913,0.14790714285714285,0.22690243902439028,0.3365779797979798,0.0284805751417116,0.09375,0.09615384615384616,0.004137931034482759])",3
451,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.4583333333333333,0.14130434782608695,0.2698404761904762,0.3665926829268293,0.27903272727272727,0.02668325729296281,0.125,0.13461538461538464,0.01391304347826087])",7
452,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.5416666666666666,0.358695652173913,0.25252619047619046,0.302290243902439,0.29139878787878787,0.10548873219964053,0.109375,0.09615384615384616,0.013333333333333332])",3
453,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.625,0.33695652173913043,0.13059047619047617,0.23872926829268296,0.30621373737373736,0.1831881653532421,0.21875,0.13461538461538464,0.0030769230769230774])",1
454,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.6666666666666666,0.33695652173913043,0.16738809523809525,0.20694634146341465,0.30664222222222226,0.12913037467164384,0.296875,0.2692307692307693,0.002857142857142857])",5
455,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.6666666666666666,0.8369565217391304,0.12626190476190474,0.1803390243902439,0.34037333333333336,0.2566016867136734,0.171875,0.09615384615384616,0.0012903225806451613])",4
456,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.7083333333333333,0.3913043478260869,0.11976904761904762,0.1899487804878049,0.32225292929292926,0.16341766901700538,0.109375,0.09615384615384616,0.004285714285714286])",5
457,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.75,0.6630434782608695,0.13275714285714285,0.19881707317073172,0.30309151515151517,0.11779344670261302,0.375,0.2884615384615385,0.0026666666666666666])",4
458,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.7916666666666666,0.7065217391304348,0.13059047619047617,0.18625365853658538,0.3172329292929293,0.25259228535877226,0.109375,0.09615384615384616,0.005714285714285714])",1
459,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.9166666666666666,0.6195652173913043,0.07719999999999999,0.17516585365853662,0.30107131313131313,0.3232407023365132,0.109375,0.09615384615384616,0.005517241379310345])",2
460,"(26,[0,2,3,17,18,19,20,21,23,24],[1.0,1.0,1.0,0.041666666666666664,0.10869565217391304,0.47619047619047616,0.351219512195122,0.11555555555555556,0.46875,0.2692307692307693])",35
461,"(26,[0,2,3,17,18,19,20,21,23,24],[1.0,1.0,1.0,0.041666666666666664,0.10869565217391304,0.5297619047619048,0.34451219512195125,0.3434343434343434,0.09375,0.057692307692307696])",13
462,"(26,[0,2,3,17,18,19,20,21,23,24],[1.0,1.0,1.0,0.08333333333333333,0.10869565217391304,0.3214285714285714,0.0975609756097561,0.09797979797979799,0.46875,0.2692307692307693])",42
463,"(26,[0,2,3,17,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.10869565217391304,0.3571428571428571,0.3252024390243902,0.06195292929292929,0.46875,0.40384615384615385,0.02])",77
464,"(26,[0,2,3,17,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.08333333333333333,0.10869565217391304,0.29464285714285715,0.34146341463414637,0.31691919191919193,0.25,0.2692307692307693,0.006666666666666666])",12
465,"(26,[0,2,3,17,18,19,20,21,23,25],[1.0,1.0,1.0,0.041666666666666664,0.10869565217391304,0.5370380952380952,0.5636853658536586,0.24691353535353536,0.171875,0.05])",78
466,"(26,[0,2,3,17,18,19,21,22,23,24],[1.0,1.0,1.0,0.20833333333333331,0.42391304347826086,0.08095238095238096,0.24848484848484848,0.7935849578321581,0.3125,0.34615384615384615])",73
467,"(26,[0,2,3,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.10869565217391304,0.30952380952380953,0.2682926829268293,0.30707070707070705,0.3911240149315636,0.390625,0.3076923076923077])",89
468,"(26,[0,2,3,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.10869565217391304,0.44047619047619047,0.2804878048780488,0.30303030303030304,0.27651043826904464,0.171875,0.09615384615384616])",83
469,"(26,[0,2,3,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.10869565217391304,0.5544214285714285,0.6480829268292684,0.3601731313131313,0.005530208765380893,0.109375,0.057692307692307696])",31
470,"(26,[0,2,3,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.10869565217391304,0.5674595238095238,0.4227634146341464,0.36363636363636365,0.006359740080188027,0.453125,0.3076923076923077])",80
471,"(26,[0,2,3,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.10869565217391304,0.6666666666666666,0.5121951219512195,0.16767676767676767,0.08322964191898244,0.15625,0.07692307692307693])",42
472,"(26,[0,2,3,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.10869565217391304,0.7176880952380952,0.43902439024390244,0.1740260606060606,0.011475183188165353,0.15625,0.07692307692307693])",34
473,"(26,[0,2,3,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.10869565217391304,0.7962952380952381,0.7344170731707318,0.3860830303030303,0.0031798700400940136,0.15625,0.07692307692307693])",97
474,"(26,[0,2,3,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.10869565217391304,0.8190476190476189,0.5853658536585367,0.40161616161616165,0.0013825521913452233,0.34375,0.11538461538461539])",96
475,"(26,[0,2,3,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.17559523809523808,0.3719512195121951,0.35378787878787876,0.025715470759021156,0.125,0.057692307692307696,0.008])",15
476,"(26,[0,2,3,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.30230952380952375,0.37546097560975605,0.30162222222222224,0.0013825521913452233,0.3125,0.3653846153846154,0.0016666666666666666])",12
477,"(26,[0,2,3,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.32440476190476186,0.29268292682926833,0.31262626262626264,0.008986589243743952,0.28125,0.15384615384615385,0.005714285714285714])",9
478,"(26,[0,2,3,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.4264071428571428,0.43015609756097556,0.33149676767676767,0.0005530208765380893,0.203125,0.11538461538461539,0.008])",15
479,"(26,[0,2,3,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.47546904761904757,0.5343682926829268,0.28625656565656565,0.004424167012304714,0.296875,0.15384615384615385,0.018823529411764708])",20
480,"(26,[0,2,3,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.5512261904761904,0.5676268292682927,0.3128864646464647,0.0011060417530761786,0.109375,0.038461538461538464,0.027999999999999997])",22
481,"(26,[0,2,3,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.5595238095238095,0.46951219512195125,0.09747474747474748,0.050186644545831605,0.125,0.057692307692307696,0.04])",44
482,"(26,[0,2,3,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.5840785714285714,0.5144829268292683,0.3190026262626262,0.0008295313148071339,0.296875,0.15384615384615385,0.017142857142857144])",20
483,"(26,[0,2,3,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.6011904761904762,0.649390243902439,0.351010101010101,0.003041614820959491,0.109375,0.038461538461538464,0.04])",29
484,"(26,[0,2,3,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.6042690476190477,0.6324634146341463,0.3035876767676768,0.0009677865339416564,0.078125,0.019230769230769232,0.03333333333333333])",27
485,"(26,[0,2,3,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.6071428571428571,0.6040658536585366,0.3107070707070707,0.0009677865339416564,0.125,0.057692307692307696,0.017142857142857144])",24
486,"(26,[0,2,3,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.6095238095238096,0.6081292682926829,0.2522559595959596,0.005115443107977326,0.1875,0.21153846153846156,0.026666666666666665])",90
487,"(26,[0,2,3,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.6341999999999999,0.5831487804878048,0.34067959595959596,0.00041476565740356696,0.0625,0.038461538461538464,0.03428571428571429])",29
488,"(26,[0,2,3,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.6757380952380952,0.6225317073170732,0.26743636363636364,0.004424167012304714,0.0625,0.038461538461538464,0.04])",32
489,"(26,[0,2,3,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.6765190476190476,0.645080487804878,0.2934866666666667,0.00027651043826904464,0.109375,0.038461538461538464,0.04])",28
490,"(26,[0,2,3,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.6813190476190476,0.6697926829268294,0.27490282828282825,0.0031798700400940136,0.125,0.038461538461538464,0.08])",39
